ID,z1,z2,z3,z4,z5
Seq_72,0.316,-0.579,-0.299,-0.338,0.078
Seq_73,0.239,-0.791,0.008,-0.337,0.094
Seq_74,0.581,-0.375,-0.04,-0.774,0.193
Seq_75,0.062,-0.584,-0.366,-0.494,0.102
Seq_76,0.351,-0.552,-0.067,-0.537,0.337
Seq_77,-0.021,-0.746,-0.35,-0.399,0.198
Seq_78,0.416,-0.25,-0.318,-0.643,0.102
Seq_79,0.57,-0.459,-0.432,-0.497,0.168
Seq_80,0.085,-0.348,-0.194,-0.469,-0.015
Seq_81,0.585,-0.215,-0.432,-0.529,0.188
Seq_82,-0.03,-0.427,-0.125,-0.157,0.175
Seq_83,0.294,-0.497,-0.316,-0.531,0.029
Seq_84,0.69,-0.925,-0.303,-0.694,0.08
Seq_85,0.021,-0.477,-0.249,-0.423,0.209
Seq_86,-0.06,-0.609,-0.297,-0.475,0.109
Seq_87,0.109,-0.365,-0.299,-0.324,0.146
Seq_88,0.605,-0.216,-0.234,-0.371,0.13
Seq_89,-0.007,-0.681,-0.173,-0.432,0.2
Seq_90,0.043,-0.583,0.017,-0.422,0.06
Seq_91,0.175,-0.759,-0.355,-0.35,0.157
Seq_92,0.396,-0.602,-0.322,-0.557,0.158
Seq_93,0.178,-0.682,-0.237,-0.352,0.155
Seq_94,0.316,-0.189,-0.251,-0.384,0.026
Seq_95,0.398,-0.186,-0.22,-0.31,0.162
Seq_96,-0.275,-0.52,0.011,-0.252,0.31
Seq_97,0.178,-0.639,-0.102,-0.531,0.044
Seq_98,-0.013,-0.353,-0.383,-0.116,0.175
Seq_99,0.179,-0.572,-0.248,-0.381,0.127
Seq_100,0.187,-0.463,-0.396,-0.367,0.089
Seq_101,-0.129,-0.296,-0.51,0.106,0.089
Seq_102,0.864,-0.142,-0.431,-0.459,0.155
Seq_103,0.0,-0.481,-0.32,-0.378,0.168
Seq_104,0.357,-0.492,-0.107,-0.323,0.275
Seq_105,0.301,-0.516,-0.203,-0.482,-0.039
Seq_106,-0.061,-0.502,-0.265,-0.325,0.282
Seq_107,-0.132,-0.733,-0.491,-0.53,0.167
Seq_108,0.2,-0.649,-0.079,-0.524,0.017
Seq_109,-0.019,-0.736,-0.432,-0.489,0.149
Seq_110,0.135,-0.292,-0.026,-0.204,0.091
Seq_111,0.215,-0.507,-0.265,-0.384,0.125
Seq_112,0.001,-0.265,-0.315,-0.37,0.136
Seq_113,0.574,-0.026,-0.706,0.109,0.156
Seq_114,0.113,-0.468,-0.361,-0.45,0.211
Seq_115,-0.272,-0.788,-0.314,-0.484,0.167
Seq_116,0.166,-0.49,-0.254,-0.452,0.097
Seq_117,0.109,-0.81,-0.236,-0.562,0.142
Seq_118,-0.002,-0.709,-0.291,-0.425,0.155
Seq_119,0.509,-0.705,-0.115,-0.565,0.023
Seq_120,-0.072,-0.43,-0.468,-0.444,0.143
Seq_121,0.222,-0.465,-0.243,-0.371,0.031
Seq_122,0.014,-0.592,-0.432,-0.491,0.145
Seq_123,0.226,-0.858,-0.327,-0.595,0.152
Seq_124,0.512,-0.388,-0.016,-0.277,0.307
Seq_125,0.178,0.084,-0.301,-0.224,0.063
Seq_126,-0.124,-0.398,-0.314,-0.352,0.147
Seq_127,0.26,-0.61,-0.345,-0.468,0.285
Seq_128,0.084,-0.415,-0.228,-0.317,0.105
Seq_129,0.176,-0.278,-0.232,-0.415,0.085
Seq_130,0.116,-0.406,-0.296,-0.398,0.103
Seq_131,0.292,-0.57,-0.221,-0.39,0.077
Seq_132,0.386,-0.203,-0.425,-0.386,0.095
Seq_133,0.297,-0.462,-0.159,-0.468,0.095
Seq_134,-0.015,-0.529,-0.393,-0.427,0.12
Seq_135,0.043,-0.553,-0.001,-0.517,0.039
Seq_136,0.44,-0.357,-0.275,0.076,-0.148
Seq_137,0.227,-0.275,-0.248,-0.267,-0.022
Seq_138,-0.104,-0.636,-0.232,-0.492,0.119
Seq_139,0.071,-0.294,-0.177,-0.364,-0.038
Seq_140,0.174,-0.76,-0.371,-0.483,0.25
Seq_141,-0.041,-0.671,-0.132,-0.344,0.174
Seq_142,-0.582,-0.136,-0.047,-0.131,-0.025
Seq_143,0.053,-0.794,-0.292,-0.439,0.291
Seq_144,0.026,-0.93,-0.306,-0.436,0.312
Seq_145,0.237,-0.381,-0.186,-0.397,0.314
Seq_146,0.123,-0.452,-0.289,-0.505,0.164
Seq_147,0.058,-0.225,-0.166,-0.189,0.04
Seq_148,0.146,-0.428,-0.402,-0.506,0.161
Seq_149,0.314,-0.489,-0.447,-0.481,0.082
Seq_150,0.251,-0.234,-0.21,-0.252,0.038
Seq_151,-0.086,-0.804,-0.5,-0.278,0.234
Seq_152,0.269,-0.747,0.104,-0.401,0.187
Seq_153,0.016,-0.482,-0.252,-0.445,0.258
Seq_154,0.054,-0.554,-0.607,-0.525,0.18
Seq_155,-0.084,-0.588,-0.042,-0.371,0.112
Seq_156,0.257,-0.328,-0.303,-0.532,0.073
Seq_157,0.274,-0.44,-0.326,-0.587,0.141
Seq_158,0.152,-0.375,-0.399,-0.406,0.035
Seq_159,-0.061,-0.494,-0.484,-0.532,0.131
Seq_160,0.352,-0.409,-0.311,-0.393,0.167
Seq_161,-0.127,-0.457,-0.281,-0.203,0.156
Seq_162,0.189,-0.859,-0.299,-0.381,0.269
Seq_163,0.364,-0.422,-0.339,-0.318,0.127
Seq_164,0.185,-0.835,-0.134,-0.466,0.324
Seq_165,-0.054,-0.669,-0.278,-0.483,0.098
Seq_166,-0.126,-0.282,-0.628,-0.65,0.152
Seq_167,0.249,-0.714,-0.074,-0.535,0.286
Seq_168,0.505,-0.4,-0.344,-0.472,0.131
Seq_169,0.596,-0.173,-0.496,-0.487,0.265
Seq_170,0.246,-0.405,-0.366,-0.456,0.028
Seq_171,0.036,-0.472,-0.295,-0.368,0.077
Seq_172,0.294,-0.703,-0.393,-0.606,0.195
Seq_173,0.333,-0.563,-0.211,-0.447,0.12
Seq_174,0.229,-0.582,-0.168,-0.353,0.072
Seq_175,0.271,-0.302,-0.063,-0.471,0.025
Seq_176,0.244,-0.312,-0.476,-0.457,0.119
Seq_177,-0.043,-0.934,-0.251,-0.486,0.232
Seq_178,0.044,-0.845,-0.218,-0.506,0.115
Seq_179,0.285,-0.757,-0.163,-0.474,0.161
Seq_180,0.272,-0.539,-0.452,-0.5,0.192
Seq_181,0.16,-0.842,-0.421,-0.417,0.101
Seq_182,0.152,-0.357,-0.178,-0.597,0.027
Seq_183,-0.067,-0.507,-0.234,-0.314,0.086
Seq_184,0.378,-0.689,-0.376,-0.345,0.27
Seq_185,-0.107,-0.432,-0.262,-0.397,0.135
Seq_186,0.024,-0.509,-0.339,-0.467,0.233
Seq_187,0.293,-0.448,-0.065,-0.343,-0.126
Seq_188,0.054,-0.645,-0.198,-0.41,0.289
Seq_189,0.148,-0.852,-0.209,-0.44,0.022
Seq_190,0.284,-0.656,0.098,-0.432,0.426
Seq_191,0.227,-0.551,-0.2,-0.276,0.159
Seq_192,0.258,-0.578,-0.236,-0.503,0.067
Seq_193,0.25,-0.332,-0.54,-0.284,0.08
Seq_194,0.061,-0.421,-0.378,-0.426,0.148
Seq_195,0.208,-0.563,-0.269,-0.404,0.182
Seq_196,0.24,-0.212,-0.431,-0.399,-0.01
Seq_197,-0.186,-0.693,-0.239,-0.506,0.219
Seq_198,0.19,-0.343,-0.209,-0.545,0.082
Seq_199,0.483,-0.724,-0.407,-0.19,0.236
Seq_200,0.031,-0.848,0.023,-0.66,0.125
Seq_201,0.087,-0.71,-0.214,-0.562,0.255
Seq_202,0.251,-0.304,-0.252,-0.393,0.129
Seq_203,0.097,-0.835,-0.142,-0.467,0.15
Seq_204,0.398,-0.361,-0.245,-0.386,0.053
Seq_205,0.33,-0.308,0.067,-0.098,-0.157
Seq_206,0.128,-0.699,-0.284,-0.524,0.301
Seq_207,0.23,-1.019,-0.354,-0.452,0.15
Seq_208,0.351,-0.404,-0.442,-0.471,0.141
Seq_209,-0.708,-0.471,-0.196,-0.258,-0.012
Seq_210,0.09,-0.336,-0.29,-0.319,0.093
Seq_211,0.293,-1.03,-0.363,-0.61,0.212
Seq_212,0.034,-0.8,-0.274,-0.486,0.17
Seq_213,0.169,-0.845,-0.102,-0.376,0.014
Seq_214,0.036,-0.145,-0.393,-0.462,0.037
Seq_215,-0.01,0.058,-0.279,-0.234,-0.056
Seq_216,0.163,-0.386,-0.288,-0.438,0.132
Seq_217,0.241,-0.808,-0.233,-0.495,0.111
Seq_218,0.245,-0.208,-0.302,-0.38,-0.002
Seq_219,0.194,-0.574,-0.377,-0.535,0.124
Seq_220,0.135,-0.605,-0.247,-0.439,0.128
Seq_221,0.398,-0.054,-0.131,-0.349,0.134
Seq_222,-0.182,-0.286,-0.372,-0.569,0.101
Seq_223,0.538,-0.541,-0.067,-0.239,0.154
Seq_224,-0.069,-0.34,-0.527,-0.421,0.098
Seq_225,0.323,-0.302,-0.76,-0.272,0.168
Seq_226,0.985,0.045,-0.29,0.016,-0.063
Seq_227,0.125,-0.793,-0.281,-0.466,0.198
Seq_228,0.001,-0.392,-0.26,-0.423,0.139
Seq_229,0.186,-0.316,-0.282,-0.411,0.154
Seq_230,0.161,-0.243,-0.419,-0.371,0.15
Seq_231,-0.022,-0.6,-0.132,-0.616,0.096
Seq_232,0.016,-0.755,0.045,-0.298,0.025
Seq_233,0.169,-0.45,-0.275,-0.437,0.126
Seq_234,0.066,-0.612,-0.319,-0.302,0.069
Seq_235,0.341,-0.799,-0.163,-0.439,0.113
Seq_236,0.186,-0.45,-0.37,-0.393,0.183
Seq_237,0.451,-0.309,-0.054,-0.21,0.05
Seq_238,0.067,-0.616,-0.168,-0.389,0.174
Seq_239,0.027,-0.471,-0.135,-0.326,0.177
Seq_240,-0.098,-0.511,-0.159,-0.426,-0.005
Seq_241,0.064,-0.304,-0.319,-0.344,0.101
Seq_242,0.241,-0.407,-0.21,-0.561,0.041
Seq_243,0.102,-0.413,-0.259,-0.33,0.16
Seq_244,0.079,-0.469,-0.336,-0.388,0.134
Seq_245,-0.027,-0.568,-0.179,-0.283,0.223
Seq_246,0.06,-0.62,-0.287,-0.464,0.153
Seq_247,0.269,-0.145,-0.325,-0.421,0.145
Seq_248,-0.284,-0.373,-0.605,-0.446,0.15
Seq_249,0.328,-0.598,-0.126,-0.339,0.166
Seq_250,-0.085,-0.648,-0.278,-0.414,0.131
Seq_251,0.651,-0.083,-0.038,-0.671,0.145
Seq_252,0.48,-0.518,-0.147,-0.543,0.148
Seq_253,-0.046,-0.654,-0.22,-0.339,0.068
Seq_254,0.282,-0.518,-0.344,-0.481,-0.041
Seq_255,0.027,-0.875,-0.307,-0.383,0.223
Seq_256,0.266,-0.147,-0.329,-0.422,0.142
Seq_257,0.261,-0.56,-0.104,-0.395,0.077
Seq_258,0.38,-0.377,-0.276,-0.547,0.116
Seq_259,0.376,-0.427,-0.358,-0.505,-0.039
Seq_260,0.004,-0.468,-0.183,-0.339,0.081
Seq_261,0.157,-0.929,-0.304,-0.593,0.254
Seq_262,-0.005,-0.482,-0.213,-0.314,0.23
Seq_263,0.797,-0.141,-0.381,-0.68,0.307
Seq_264,0.34,-0.577,0.172,-0.464,-0.145
Seq_265,0.275,-0.244,-0.505,-0.031,0.053
Seq_266,0.409,-0.279,-0.497,-0.523,-0.008
Seq_267,-0.164,-0.545,-0.168,-0.325,0.103
Seq_268,0.051,-0.459,-0.272,-0.407,0.058
Seq_269,0.19,-0.886,-0.231,-0.549,0.147
Seq_270,1.442,0.066,-0.541,-0.02,0.237
Seq_271,0.354,-0.406,-0.07,-0.372,-0.051
Seq_272,0.164,-0.463,-0.213,-0.374,0.112
Seq_273,0.74,-0.246,-0.179,-0.547,0.139
Seq_274,-0.002,-0.992,-0.108,-0.329,-0.066
Seq_275,-0.141,-0.616,-0.208,-0.394,0.17
Seq_276,0.225,-0.144,-0.512,-0.723,0.172
Seq_277,0.238,-0.28,-0.473,-0.649,0.146
Seq_278,0.102,-0.694,-0.13,-0.587,0.082
Seq_279,-0.173,-0.885,-0.161,-0.257,0.252
Seq_280,0.561,-0.563,-0.536,-0.19,0.112
Seq_281,0.213,-0.425,-0.262,-0.412,0.143
Seq_282,-0.025,-0.387,-0.23,-0.496,0.218
Seq_283,0.184,-0.682,-0.347,-0.605,0.221
Seq_284,0.182,-0.369,-0.212,-0.622,0.106
Seq_285,0.071,-0.532,-0.416,-0.242,0.189
Seq_286,0.263,-0.696,-0.525,-0.167,0.122
Seq_287,-0.141,-0.317,-0.458,-0.209,0.358
Seq_288,-0.025,-0.511,0.051,-0.294,-0.026
Seq_289,0.172,-0.23,-0.097,-0.303,-0.009
Seq_290,0.427,-0.44,-0.385,-0.556,0.067
Seq_291,0.176,-0.23,-0.182,-0.078,0.025
Seq_292,-0.027,-0.405,-0.27,-0.503,0.12
Seq_293,0.585,-0.448,-0.484,-0.594,0.215
Seq_294,0.338,-0.723,-0.115,-0.346,0.12
Seq_295,0.269,-0.171,-0.333,-0.505,0.049
Seq_296,0.146,-0.667,-0.22,-0.399,0.207
Seq_297,0.352,-0.628,-0.27,-0.45,0.15
Seq_298,0.418,-1.276,0.046,-0.51,0.159
Seq_299,0.309,-1.066,-0.244,-0.474,0.092
Seq_300,0.377,-1.063,-0.068,-0.501,0.204
Seq_301,0.34,-0.548,-0.382,-0.47,0.245
Seq_302,-0.15,-0.593,-0.352,-0.238,0.096
Seq_303,0.04,-0.486,-0.23,-0.263,0.085
Seq_304,0.124,-0.231,-0.237,-0.317,0.096
Seq_305,0.223,-0.633,-0.313,-0.696,0.0
Seq_306,0.393,-0.454,-0.221,-0.645,0.074
Seq_307,0.158,-0.496,-0.283,-0.415,0.073
Seq_308,0.175,-0.494,-0.157,-0.37,0.151
Seq_309,0.285,-0.671,-0.293,-0.435,0.081
Seq_310,0.198,-0.259,-0.441,-0.41,0.056
Seq_311,0.024,-0.612,-0.1,-0.462,0.14
Seq_312,0.015,-0.66,-0.314,-0.405,0.174
Seq_313,0.061,-0.266,-0.405,-0.418,0.072
Seq_314,0.281,-0.625,-0.059,-0.424,0.216
Seq_315,0.135,-0.304,-0.226,-0.286,0.086
Seq_316,0.086,-0.275,-0.076,-0.357,0.053
Seq_317,0.119,-0.214,-0.539,-0.225,0.009
Seq_318,0.346,-0.449,-0.008,-0.376,0.482
Seq_319,0.435,-0.592,-0.234,-0.567,0.068
Seq_320,0.021,-0.369,-0.327,-0.516,0.148
Seq_321,0.157,-0.707,-0.287,-0.478,0.225
Seq_322,0.239,-0.548,-0.718,-0.129,0.076
Seq_323,0.419,-0.264,-0.111,-0.244,0.033
Seq_324,0.078,-0.413,-0.374,-0.431,0.14
Seq_325,0.266,-0.247,-0.293,-0.486,0.075
Seq_326,-0.192,0.067,-0.483,0.04,0.111
Seq_327,0.161,-0.279,-0.399,-0.446,0.15
Seq_328,0.129,-0.704,-0.178,-0.403,0.118
Seq_329,0.148,-0.558,-0.528,-0.437,0.136
Seq_330,0.139,-0.46,-0.224,-0.414,0.13
Seq_331,0.676,-0.473,-0.018,-0.538,-0.014
Seq_332,0.182,-0.249,-0.364,-0.315,0.039
Seq_333,-0.746,-1.084,-0.278,-0.409,0.19
Seq_334,0.616,-0.42,-0.173,-0.608,0.062
Seq_335,0.806,-1.315,0.031,-0.811,0.159
Seq_336,-0.432,-0.396,-0.459,-0.493,0.054
Seq_337,0.152,-0.077,-0.263,-0.421,0.02
Seq_338,0.098,-0.513,-0.319,-0.393,0.151
Seq_339,0.12,-0.755,-0.374,-0.414,0.337
Seq_340,0.414,-0.255,-0.115,-0.462,0.07
Seq_341,0.221,-0.537,0.11,-0.243,0.391
Seq_342,0.201,-0.588,-0.381,-0.395,0.246
Seq_343,0.079,-0.298,-0.289,-0.399,0.075
Seq_344,-0.024,-0.55,-0.471,-0.619,0.227
Seq_345,0.517,-0.441,-0.164,-0.354,0.381
Seq_346,-0.006,-0.596,-0.135,-0.59,0.119
Seq_347,0.273,-0.429,-0.334,-0.491,0.188
Seq_348,0.363,-0.557,-0.41,-0.43,0.065
Seq_349,0.255,-0.576,-0.347,-0.471,-0.028
Seq_350,0.217,-0.525,-0.665,-0.517,0.265
Seq_351,0.059,-0.847,-0.408,-0.55,0.119
Seq_352,0.208,-0.844,-0.18,-0.443,0.149
Seq_353,0.186,-0.411,-0.341,-0.472,0.05
Seq_354,-0.088,-0.589,-0.301,-0.442,0.16
Seq_355,0.122,-0.231,-0.078,-0.563,-0.033
Seq_356,-0.69,-0.804,-0.433,-0.341,0.149
Seq_357,-0.0,-0.274,-0.217,-0.322,0.173
Seq_358,-0.747,-0.954,-0.373,-0.501,0.195
Seq_359,0.135,-0.537,-0.303,-0.581,0.275
Seq_360,-0.063,-0.276,-0.307,-0.349,0.065
Seq_361,-0.019,-0.283,-0.56,-0.375,0.078
Seq_362,0.373,-0.42,-0.331,-0.572,0.147
Seq_363,0.167,-1.072,0.149,-0.67,0.316
Seq_364,0.291,-0.291,-0.106,-0.437,-0.002
Seq_365,0.153,-0.395,-0.322,-0.388,0.112
Seq_366,0.038,-0.196,-0.134,-0.476,-0.009
Seq_367,-0.009,-0.62,-0.346,-0.376,0.265
Seq_368,-0.071,-0.604,-0.531,-0.421,0.12
Seq_369,0.158,-0.397,-0.155,-0.323,0.079
Seq_370,0.124,-0.49,-0.463,-0.536,0.125
Seq_371,0.123,-0.706,-0.171,-0.361,0.14
Seq_372,0.415,-0.257,-0.406,-0.464,0.181
Seq_373,0.455,-0.397,-0.247,-0.446,0.142
Seq_374,0.018,-0.641,-0.266,-0.347,0.068
Seq_375,-0.304,-0.431,-0.317,-0.571,0.057
Seq_376,0.086,-0.217,-0.505,-0.347,-0.016
Seq_377,0.152,-0.173,-0.118,-0.365,0.008
Seq_378,0.557,-0.48,-0.036,-0.245,-0.223
Seq_379,0.193,-0.233,-0.302,-0.174,0.175
Seq_380,0.061,-0.624,-0.182,-0.405,0.163
Seq_381,0.124,-0.645,-0.294,-0.434,0.192
Seq_382,0.048,-0.674,-0.21,-0.395,0.246
Seq_383,0.175,-0.579,-0.068,-0.339,0.133
Seq_384,0.054,-0.268,-0.171,-0.449,0.061
Seq_385,0.105,-0.27,-0.284,-0.481,0.071
Seq_386,0.076,-0.061,-0.274,-0.288,0.047
Seq_387,-0.026,-0.101,-0.562,-0.574,0.057
Seq_388,-0.027,-0.417,-0.196,-0.24,0.22
Seq_389,0.081,-0.523,-0.155,-0.421,0.13
Seq_390,0.061,-0.56,-0.234,-0.419,0.099
Seq_391,0.142,-0.314,-0.271,-0.324,0.141
Seq_392,0.23,-0.45,-0.361,-0.531,0.06
Seq_393,0.266,-0.732,-0.327,-0.488,0.124
Seq_394,-0.23,-0.604,-0.524,-0.281,0.361
Seq_395,-0.103,-0.517,-0.544,-0.536,0.209
Seq_396,0.119,-0.485,-0.351,-0.373,0.028
Seq_397,0.347,-0.713,-0.048,-0.365,0.046
Seq_398,0.216,-0.469,-0.28,-0.5,-0.06
Seq_399,0.466,0.013,-0.313,0.201,-0.191
Seq_400,0.199,-0.307,-0.311,-0.517,0.133
Seq_401,-0.036,-0.545,-0.242,-0.47,0.226
Seq_402,-0.173,-0.231,-0.201,-0.298,0.099
Seq_403,0.016,-0.604,-0.393,-0.604,0.149
Seq_404,0.218,-0.317,-0.245,-0.374,0.142
Seq_405,0.199,-0.559,-0.093,-0.369,0.17
Seq_406,0.11,-0.428,-0.171,-0.682,0.15
Seq_407,0.282,-0.734,-0.031,-0.558,-0.031
Seq_408,0.219,-0.887,-0.351,-0.558,0.275
Seq_409,0.112,-0.284,-0.018,-0.199,0.065
Seq_410,0.059,-0.236,-0.282,-0.382,0.073
Seq_411,0.25,-0.624,-0.251,-0.587,0.134
Seq_412,0.084,-0.501,-0.253,-0.493,0.078
Seq_413,-0.079,-0.542,-0.103,-0.438,0.178
Seq_414,0.235,-0.852,-0.265,-0.458,0.261
Seq_415,0.357,-0.414,0.085,-0.453,-0.12
Seq_416,0.015,-0.444,-0.243,-0.463,-0.004
Seq_417,0.166,-0.49,-0.221,-0.613,0.074
Seq_418,-0.01,-0.631,-0.286,-0.537,0.251
Seq_419,0.271,-0.719,-0.148,-0.464,0.317
Seq_420,0.494,-0.329,-0.25,-0.453,0.216
Seq_421,0.16,-0.453,-0.832,-0.352,-0.022
Seq_422,0.027,-0.7,-0.44,-0.514,0.107
Seq_423,0.213,-0.661,-0.278,-0.45,0.142
Seq_424,0.434,-0.493,-0.339,-0.519,0.142
Seq_425,0.177,-0.708,-0.136,-0.32,0.233
Seq_426,0.178,-0.419,-0.276,-0.45,0.072
Seq_427,0.186,-0.454,-0.401,-0.364,0.112
Seq_428,0.462,-0.419,-0.291,-0.467,0.358
Seq_429,0.023,-0.442,0.084,-0.191,-0.109
Seq_430,0.009,-0.603,-0.388,-0.431,0.143
Seq_431,0.217,-0.393,-0.381,-0.357,0.117
Seq_432,0.186,-0.286,-0.214,-0.464,0.112
Seq_433,0.078,-0.497,-0.138,-0.411,0.115
Seq_434,1.154,-0.111,-0.089,-1.064,0.358
Seq_435,0.205,-0.376,-0.439,-0.397,0.133
Seq_436,0.583,-1.567,0.08,-0.839,0.248
Seq_437,0.141,-0.171,-0.345,-0.393,0.036
Seq_438,0.11,-0.562,-0.219,-0.376,0.227
Seq_439,0.165,-0.403,-0.534,-0.297,0.187
Seq_440,0.338,-0.771,-0.186,-0.333,0.393
Seq_441,-0.221,-0.329,-0.155,-0.195,-0.061
Seq_442,0.129,-0.542,-0.223,-0.351,-0.037
Seq_443,0.345,-0.477,-0.212,-0.398,0.158
Seq_444,0.277,-0.697,0.077,-0.583,0.34
Seq_445,0.035,-0.873,-0.286,-0.466,0.225
Seq_446,0.433,-0.194,-0.426,-0.276,0.203
Seq_447,-0.041,-0.503,-0.29,-0.23,0.128
Seq_448,-0.296,-0.287,-0.228,-0.389,0.065
Seq_449,0.149,-0.274,-0.363,-0.309,0.046
Seq_450,0.165,-0.582,-0.244,-0.563,0.045
Seq_451,-0.973,-0.61,-0.29,-0.202,0.046
Seq_452,0.728,-0.232,-0.58,-0.661,0.178
Seq_453,0.2,-0.769,-0.268,-0.516,0.302
Seq_454,0.204,-0.626,-0.239,-0.395,0.166
Seq_455,0.453,-0.112,-0.306,-0.303,0.06
Seq_456,-0.439,-0.943,-0.074,-0.457,0.164
Seq_457,0.371,-0.357,-0.169,-0.445,0.118
Seq_458,0.608,-0.599,-0.022,-0.309,0.117
Seq_459,-0.822,-0.706,-0.206,-0.28,0.027
Seq_460,0.022,-0.554,-0.318,-0.44,0.147
Seq_461,0.368,-0.643,-0.719,-0.252,0.257
Seq_462,0.022,-0.658,-0.369,-0.633,0.205
Seq_463,0.311,-0.399,-0.319,-0.318,0.092
Seq_464,-0.072,-0.292,-0.284,-0.409,0.067
Seq_465,0.009,-0.363,-0.281,-0.35,0.128
Seq_466,0.048,-0.637,-0.356,-0.361,0.299
Seq_467,0.472,-0.626,-0.351,-0.461,0.172
Seq_468,0.161,-0.345,-0.112,-0.368,0.149
Seq_469,-0.957,-0.623,-0.325,-0.265,0.117
Seq_470,0.362,-0.574,-0.183,-0.426,0.076
Seq_471,0.221,-0.997,-0.191,-0.423,0.278
Seq_472,0.035,-0.192,-0.274,-0.543,-0.062
Seq_473,0.161,-0.588,-0.258,-0.53,0.121
Seq_474,0.631,-0.579,-0.056,-0.107,0.134
Seq_475,0.153,-0.061,-0.665,-0.461,-0.036
Seq_476,0.076,-0.372,-0.303,-0.478,-0.0
Seq_477,0.225,-0.878,-0.289,-0.37,0.392
