Secondary Structure(Helix),Solvent Accessibilty (Buried),Solvent Accesibilty(Intermediate),[G4.3.22.3],[G7.1.1.50],[G5.2.2.12],[G4.3.10.4],[G2.1.1.169],[G4.3.11.2],[G2.1.1.339],[G2.1.1.211],[G2.1.1.178],[Class]
0.462,0.384,0.251,2.5,-0.006523,0.003267,38.75,3.797468,2.5,0,0,1.265823,DNA
0.35,0.368,0.363,2.5,-0.002006,8.87E-04,20,0,2.5,0,0,0,DNA
0.41,0.384,0.252,2.5,0.022255,0.002369,35,1.265823,2.5,0,1.265823,0,DNA
0.412,0.371,0.342,2.5,-0.001869,0.001373,13.75,0,2.5,0,0,0,DNA
0.447,0.439,0.238,2.5,8.10E-05,9.43E-04,20,0,2.5,0,0,0,DNA
0.388,0.47,0.256,2.5,-0.001525,6.92E-04,26.25,1.265823,2.5,0,0,0,DNA
0.507,0.504,0.225,2.5,-0.004414,0,28.75,0,2.5,0,0,0,DNA
0.488,0.416,0.231,2.5,0.016856,0.001646,21.25,2.531646,2.5,0,0,0,DNA
0.467,0.422,0.266,2.5,-0.001445,0.001208,37.5,0,2.5,0,0,0,DNA
0.496,0.389,0.267,2.5,0.011606,9.34E-04,20,0,2.5,0,0,0,DNA
0.53,0.493,0.247,2.5,0.004167,2.86E-04,22.5,0,2.5,0,0,0,DNA
0.44,0.405,0.274,2.5,-0.002611,0.001487,22.5,0,2.5,0,0,0,DNA
0.371,0.35,0.374,2.5,5.95E-04,0.002847,33.75,1.265823,2.5,0,0,1.265823,DNA
0.437,0.4,0.314,2.5,-3.59E-04,3.60E-04,25,0,2.5,0,0,0,DNA
0.412,0.382,0.276,2.5,0.00221,0.001936,27.5,0,2.5,0,0,0,DNA
0.448,0.369,0.242,2.5,-8.06E-04,0.001979,32.5,0,2.5,0,0,0,DNA
0.522,0.428,0.212,2.5,5.69E-04,8.84E-04,36.25,0,2.5,0,0,0,DNA
0.435,0.351,0.334,2.5,0.009721,0.002051,12.5,0,2.5,0,0,1.265823,DNA
0.515,0.4,0.162,2.5,-0.012542,0.001388,25,2.531646,2.5,0,0,0,DNA
0.4,0.43,0.233,2.5,0.002883,0.001796,38.75,0,2.5,0,0,0,DNA
0.337,0.241,0.284,2.5,-0.005106,0.002818,46.25,3.797468,2.5,0,0,3.797468,DNA
0.453,0.364,0.262,2.5,0.008935,0.001099,21.25,0,2.5,0,0,0,DNA
0.503,0.351,0.287,2.5,0.005356,0.001244,20,0,2.5,0,1.265823,0,DNA
0.594,0.341,0.196,2.5,0.002178,0.00143,27.5,0,2.5,0,0,0,DNA
0.435,0.331,0.351,2.5,-0.006303,3.06E-04,48.75,0,2.5,0,0,0,DNA
0.447,0.359,0.333,2.5,0.002591,2.89E-04,46.25,0,2.5,0,0,0,DNA
0.54,0.331,0.266,2.5,0.005236,0.002003,28.75,1.265823,2.5,0,0,0,DNA
0.593,0.531,0.111,2.5,-0.008235,0.00186,11.25,0,2.5,0,0,3.797468,DNA
0.495,0.316,0.282,2.5,0.006221,0.001306,23.75,0,2.5,0,1.265823,0,DNA
0.505,0.332,0.248,2.5,0.006289,0.001257,31.25,0,2.5,0,0,0,DNA
0.584,0.483,0.195,2.5,-1.50E-05,8.58E-04,30,0,2.5,0,0,0,DNA
0.415,0.368,0.291,2.5,0.003567,0.002341,33.75,1.265823,2.5,0,0,0,DNA
0.435,0.387,0.311,2.5,0.003357,8.83E-04,11.25,0,2.5,0,0,0,DNA
0.551,0.432,0.288,2.5,0.00291,0.00161,26.25,0,2.5,0,0,1.265823,DNA
0.567,0.439,0.228,2.5,-0.0078,0.001246,16.25,0,2.5,0,0,1.265823,DNA
0.401,0.342,0.323,2.5,0.008883,0.001636,36.25,1.265823,2.5,0,0,0,DNA
0.459,0.412,0.254,2.5,-0.001669,4.93E-04,16.25,1.265823,2.5,0,0,0,DNA
0.437,0.374,0.324,2.5,0.003056,2.56E-04,26.25,0,2.5,0,0,0,DNA
0.531,0.421,0.148,2.5,-6.89E-04,0.00442,27.5,5.063291,2.5,0,0,1.265823,DNA
0.594,0.478,0.13,2.898551,0.01475,0.003031,27.536232,1.470588,2.898551,0,0,0,DNA
0.477,0.424,0.27,2.5,0.002726,0.00124,25,0,2.5,0,0,0,DNA
0.592,0.367,0.265,2.5,-0.003938,0.002491,28.75,1.265823,2.5,0,0,0,DNA
0.479,0.343,0.263,2.5,-0.008328,0.001257,17.5,0,2.5,0,0,1.265823,DNA
0.423,0.405,0.327,2.5,0.00253,6.65E-04,21.25,0,2.5,0,0,0,DNA
0.477,0.426,0.25,2.5,0.005299,9.50E-04,35,1.265823,2.5,0,0,0,DNA
0.468,0.343,0.316,2.5,0.002737,0.001004,28.75,0,2.5,0,0,0,DNA
0.432,0.39,0.289,2.5,0.008927,0.001101,31.25,0,2.5,0,0,0,DNA
0.509,0.385,0.309,2.5,-7.55E-04,0,27.5,0,2.5,1.265823,0,0,DNA
0.47,0.394,0.258,3.030303,2.93E-04,0.00402,25.757576,1.538462,3.030303,0,0,0,DNA
0.446,0.392,0.291,2.5,-0.002463,0,17.5,0,2.5,0,0,0,DNA
0.472,0.422,0.307,2.5,0.008705,0,36.25,0,2.5,0,0,0,DNA
0.473,0.428,0.281,2.5,-0.003946,0.001429,38.75,0,2.5,0,0,0,DNA
0.494,0.405,0.228,2.531646,0.015315,0.00272,25.316456,1.282051,2.531646,0,0,1.282051,DNA
0.486,0.481,0.194,2.5,5.43E-04,3.57E-04,20,0,2.5,0,0,0,DNA
0.504,0.399,0.213,2.5,0.006887,0.0022,30,0,2.5,0,0,0,DNA
0.369,0.356,0.314,2.5,0.013977,8.55E-04,20,0,2.5,0,0,0,DNA
0.503,0.427,0.21,2.5,-0.00708,0.001012,21.25,0,2.5,0,0,0,DNA
0.414,0.423,0.232,2.5,-0.015271,0.002159,21.25,1.265823,2.5,0,0,0,DNA
0.363,0.363,0.355,2.5,-0.007461,9.12E-04,21.25,0,2.5,0,0,0,DNA
0.507,0.473,0.282,2.5,-7.08E-04,0.001085,25,1.265823,2.5,0,1.265823,0,DNA
0.386,0.334,0.447,2.5,1.00E-05,0,21.25,0,2.5,0,0,0,DNA
0.425,0.391,0.236,2.5,4.19E-04,0.003254,31.25,0,2.5,0,0,0,DNA
0.453,0.413,0.198,3.75,-0.003991,0.001342,41.25,0,3.75,0,0,1.265823,DNA
0.51,0.357,0.224,3.75,-0.001258,9.77E-04,28.75,0,3.75,0,0,0,DNA
0.379,0.399,0.316,6.25,-0.003722,9.41E-04,28.75,0,7.5,1.265823,0,0,DNA
0.431,0.434,0.213,7.5,0.001607,0.003278,23.75,0,5,0,0,1.265823,DNA
0.384,0.354,0.389,8.75,0.001754,8.79E-04,32.5,1.265823,5,0,0,0,DNA
0.422,0.43,0.242,3.75,-0.002132,0.003333,38.75,5.063291,7.5,0,0,1.265823,DNA
0.485,0.429,0.278,3.75,0.002289,6.46E-04,36.25,0,5,0,0,0,DNA
0.456,0.42,0.222,3.75,0.007573,0.00172,18.75,2.531646,7.5,0,0,0,DNA
0.42,0.384,0.279,3.75,-0.014275,0.001458,28.75,1.265823,3.75,0,0,0,DNA
0.45,0.39,0.275,3.75,0.001561,2.97E-04,7.5,0,3.75,0,0,0,DNA
0.403,0.286,0.347,10,0.009824,5.91E-04,13.75,0,5,0,0,0,DNA
0.5,0.479,0.176,5,-1.92E-04,0.001694,25,1.265823,5,0,0,0,DNA
0.417,0.366,0.273,5,-0.007062,0.002023,28.75,0,15,0,0,0,DNA
0.563,0.265,0.209,3.75,0.008378,0.004581,21.25,5.063291,6.25,0,0,0,DNA
0.505,0.43,0.204,3.75,-0.003994,0.003332,20,0,6.25,0,0,1.265823,DNA
0.549,0.446,0.174,3.75,-0.007727,0.002808,18.75,2.531646,11.25,0,0,0,DNA
0.402,0.386,0.269,3.75,0.001949,0.001715,22.5,0,6.25,0,0,0,DNA
0.426,0.426,0.208,3.75,0.002835,0.002103,17.5,0,5,0,0,0,DNA
0.48,0.409,0.284,5,0.004134,0.001183,36.25,1.265823,12.5,0,0,1.265823,DNA
0.403,0.395,0.356,5,0.008901,0.001915,21.25,2.531646,11.25,0,0,0,DNA
0.383,0.31,0.389,5,0.004588,0.002462,18.75,2.531646,11.25,0,0,1.265823,DNA
0.492,0.399,0.258,10,0.00189,8.74E-04,23.75,0,7.5,0,0,0,DNA
0.429,0.321,0.343,8.75,0.002549,0.001013,6.25,0,5,0,0,1.265823,DNA
0.463,0.403,0.301,5,0.008141,6.26E-04,32.5,0,3.75,0,0,0,DNA
0.455,0.427,0.334,5,0.001515,6.12E-04,27.5,0,3.75,0,0,0,DNA
0.445,0.355,0.267,8.75,0.004687,6.23E-04,18.75,0,3.75,0,1.265823,0,DNA
0.44,0.417,0.302,7.5,-5.72E-04,0,28.75,0,5,0,0,0,DNA
0.436,0.351,0.444,12.5,-0.003568,6.52E-04,22.5,0,5,0,0,0,DNA
0.444,0.444,0.283,7.5,-0.008541,7.96E-04,18.75,0,7.5,0,0,0,DNA
0.388,0.407,0.285,5,-2.82E-04,0.001226,28.75,1.265823,8.75,0,0,0,DNA
0.502,0.422,0.215,3.75,0.011045,0.001704,25,0,12.5,0,0,0,DNA
0.491,0.387,0.268,3.75,0.002212,9.81E-04,28.75,0,5,0,0,0,DNA
0.522,0.498,0.202,13.75,0.00556,0.001257,27.5,0,13.75,0,0,0,DNA
0.43,0.485,0.255,10,-3.34E-04,0,22.5,0,5,0,0,0,DNA
0.475,0.422,0.205,5,0.004937,0.003764,26.25,3.797468,5,0,0,2.531646,DNA
0.471,0.425,0.204,5,0.00468,0.004138,26.25,3.797468,5,0,0,3.797468,DNA
0.471,0.421,0.209,5,0.008013,0.00413,30,3.797468,5,0,0,1.265823,DNA
0.401,0.434,0.255,5,0.012366,0.002248,17.5,1.265823,5,0,0,0,DNA
0.381,0.446,0.262,3.75,-3.11E-04,4.84E-04,25,0,25,0,0,0,DNA
0.397,0.317,0.395,3.75,-2.61E-04,0.001239,18.75,0,5,0,0,0,DNA
0.592,0.487,0.181,7.5,0.003234,0,22.5,0,6.25,0,0,0,DNA
0.408,0.335,0.296,6.25,0.004228,0.002803,28.75,1.265823,5,0,0,0,DNA
0.446,0.444,0.184,3.75,0.006055,0.002263,45,0,8.75,0,0,0,DNA
0.479,0.446,0.213,3.75,-0.005991,0.001134,26.25,0,5,0,0,0,DNA
0.463,0.451,0.231,2.5,0.001587,8.30E-04,26.25,0,6.25,0,0,0,DNA
0.481,0.427,0.237,2.5,0.002197,0.00238,26.25,1.265823,12.5,0,0,1.265823,DNA
0.465,0.416,0.226,2.5,-0.006532,7.26E-04,33.75,0,3.75,0,0,0,DNA
0.453,0.356,0.295,2.5,-0.016155,0.002632,25,1.265823,3.75,0,0,0,DNA
0.462,0.427,0.197,2.5,-0.002478,0.001877,22.5,1.265823,10,0,0,0,DNA
0.436,0.333,0.362,2.5,-0.004167,0.002205,33.75,0,11.25,0,0,0,DNA
0.528,0.358,0.208,3.773585,0.014235,0.003916,24.528302,1.923077,9.433962,0,0,1.923077,DNA
0.4,0.41,0.254,2.5,-0.002748,0.001788,18.75,0,11.25,0,0,2.531646,DNA
0.405,0.407,0.222,2.5,0.00366,0.001659,20,0,21.25,0,0,1.265823,DNA
0.377,0.363,0.265,2.5,-0.001415,0.002658,26.25,0,5,0,0,1.265823,DNA
0.45,0.403,0.223,2.5,0.00849,0.003025,25,1.265823,5,0,0,0,DNA
0.469,0.336,0.266,2.5,0.007714,0.003182,25,2.531646,10,1.265823,0,1.265823,DNA
0.644,0.333,0.267,4.444444,-0.001808,0.008307,13.333333,4.545455,13.333333,0,0,0,DNA
0.412,0.367,0.327,2.5,-0.002326,0.001465,11.25,0,6.25,0,0,0,DNA
0.433,0.343,0.269,2.5,-0.002365,0.001837,20,0,5,1.265823,0,1.265823,DNA
0.41,0.422,0.32,2.5,-3.79E-04,7.71E-04,25,0,7.5,0,0,0,DNA
0.489,0.421,0.241,2.5,-0.005123,0.001245,25,0,13.75,0,0,0,DNA
0.425,0.416,0.298,2.5,0.001233,2.70E-04,11.25,0,6.25,0,0,0,DNA
0.5,0.5,0.169,2.5,-0.002543,0.001415,23.75,0,3.75,0,0,0,DNA
0.515,0.383,0.25,2.5,-0.006076,0.00273,31.25,1.265823,3.75,0,0,0,DNA
0.528,0.394,0.275,2.5,-0.009908,0.00312,25,2.531646,3.75,0,0,1.265823,DNA
0.448,0.37,0.276,2.5,0.00122,4.49E-04,13.75,0,3.75,0,0,0,DNA
0.5,0.339,0.2,2.5,0.006237,0.002425,12.5,1.265823,3.75,0,0,0,DNA
0.503,0.392,0.293,2.5,-0.010044,0.002662,31.25,0,3.75,0,0,1.265823,DNA
0.44,0.343,0.339,2.5,0.006687,0.002105,16.25,0,3.75,0,0,0,DNA
0.485,0.438,0.258,2.5,-0.001716,0.001456,20,0,3.75,0,0,0,DNA
0.616,0.358,0.185,2.5,-0.003954,0.002698,28.75,1.265823,3.75,0,0,1.265823,DNA
0.506,0.381,0.226,2.5,-0.003884,0.001462,21.25,0,3.75,0,0,0,DNA
0.482,0.443,0.208,3.75,-0.011818,0.001874,36.25,1.265823,3.75,0,0,0,DNA
0.374,0.391,0.391,6.25,0.005043,3.81E-04,26.25,0,5,0,0,0,DNA
0.523,0.44,0.197,7.5,0.007855,0.001645,30,0,6.25,0,0,0,DNA
0.397,0.437,0.251,6.25,0.001258,3.20E-04,25,0,5,0,0,0,DNA
0.384,0.421,0.189,3.75,-0.002704,0.002087,32.5,1.265823,6.25,0,0,0,DNA
0.548,0.369,0.197,7.5,0.003459,0.002542,22.5,0,5,0,0,1.265823,DNA
0.468,0.458,0.24,6.25,-0.00283,5.70E-04,33.75,0,5,0,0,0,DNA
0.464,0.395,0.279,3.75,0.006218,0.002212,32.5,0,6.25,0,0,0,DNA
0.5,0.426,0.218,3.75,-0.007496,5.80E-04,18.75,0,6.25,0,0,0,DNA
0.55,0.415,0.175,5,0.003988,0.003434,21.25,1.265823,3.75,0,0,0,DNA
0.443,0.319,0.312,7.5,-5.21E-04,6.61E-04,40,0,3.75,0,0,0,DNA
0.522,0.47,0.233,5,-0.007536,0.001333,21.25,0,3.75,0,0,0,DNA
0.491,0.429,0.259,3.75,-0.009545,0.001276,21.25,0,3.75,0,1.265823,0,DNA
0.413,0.368,0.358,10,4.16E-04,0,20,0,5,0,1.265823,0,DNA
0.414,0.42,0.293,3.75,-0.004621,0.002194,23.75,1.265823,6.25,0,1.265823,0,DNA
0.456,0.426,0.244,7.5,-0.011636,0.002273,17.5,0,7.5,0,1.265823,1.265823,DNA
0.426,0.392,0.279,3.75,0.011532,0.00115,18.75,0,5,0,1.265823,1.265823,DNA
0.402,0.364,0.359,3.75,-0.003493,6.13E-04,16.25,0,6.25,0,0,1.265823,DNA
0.571,0.411,0.215,3.75,0.005806,9.78E-04,30,0,3.75,0,0,0,DNA
0.396,0.319,0.365,5,-0.003794,2.79E-04,10,0,5,0,0,0,DNA
0.504,0.43,0.207,7.5,-0.001812,0.001396,31.25,0,6.25,0,0,0,DNA
0.473,0.366,0.309,6.25,-0.004932,0.001953,32.5,0,8.75,0,0,0,DNA
0.511,0.393,0.23,6.25,-0.013888,9.97E-04,18.75,0,5,0,0,0,DNA
0.521,0.436,0.202,3.75,0.003904,0.002645,22.5,1.265823,6.25,0,0,1.265823,DNA
0.463,0.389,0.242,3.75,0.004419,0.002928,18.75,0,15,0,0,2.531646,DNA
0.547,0.44,0.18,3.75,-0.002502,9.98E-04,26.25,0,13.75,0,0,1.265823,DNA
0.522,0.467,0.122,3.75,0.009734,0.002831,23.75,1.265823,5,0,0,2.531646,DNA
0.422,0.281,0.405,6.25,8.98E-04,0.001909,26.25,1.265823,6.25,0,0,0,DNA
0.441,0.417,0.178,5,-7.21E-04,0.002512,15,0,6.25,0,0,0,DNA
0.455,0.448,0.217,3.75,-0.007264,8.88E-04,23.75,1.265823,7.5,0,0,0,DNA
0.435,0.392,0.29,3.75,0.005897,0.002828,26.25,1.265823,16.25,0,0,2.531646,DNA
0.397,0.362,0.225,6.25,-0.020952,0.002794,20,0,3.75,0,0,2.531646,DNA
0.429,0.465,0.26,7.5,-0.002247,3.31E-04,27.5,0,3.75,0,0,0,DNA
0.391,0.363,0.351,3.75,-0.012818,0.003043,26.25,5.063291,5,0,0,0,DNA
0.501,0.443,0.261,2.5,-0.005399,0,17.5,0,18.75,0,0,0,DNA
0.387,0.427,0.323,2.5,1.12E-04,3.27E-04,20,0,10,0,0,0,DNA
0.47,0.467,0.256,2.5,0.001824,7.95E-04,31.25,0,3.75,0,0,0,DNA
0.508,0.349,0.302,2.5,0.003482,0.004933,20,5.063291,3.75,0,0,1.265823,DNA
0.492,0.333,0.317,2.5,0.002474,0.005308,20,6.329114,3.75,0,0,1.265823,DNA
0.492,0.333,0.317,2.5,0.003047,0.004884,21.25,5.063291,3.75,0,0,1.265823,DNA
0.484,0.325,0.325,2.5,0.00392,0.004596,21.25,5.063291,3.75,0,0,1.265823,DNA
0.48,0.339,0.331,2.5,0.001636,0.005062,21.25,5.063291,3.75,0,0,1.265823,DNA
0.463,0.451,0.23,2.5,-0.006299,0,20,0,5,0,0,0,DNA
0.465,0.37,0.22,2.5,-0.004388,0.001231,28.75,0,7.5,0,0,0,DNA
0.457,0.276,0.283,2.5,0.006499,0.004837,33.75,3.797468,5,0,0,0,DNA
0.464,0.344,0.272,2.5,-0.00407,0.002398,16.25,2.531646,5,0,0,0,DNA
0.431,0.323,0.319,2.5,-8.39E-04,5.68E-04,31.25,1.265823,7.5,0,0,0,DNA
0.471,0.42,0.323,2.5,-1.22E-04,6.95E-04,26.25,0,12.5,0,0,0,DNA
0.512,0.341,0.301,2.5,0.005315,0.005329,16.25,5.063291,6.25,0,0,1.265823,DNA
0.459,0.368,0.243,2.5,-0.007295,0.001755,37.5,0,6.25,0,0,0,DNA
0.442,0.417,0.218,2.5,0.00803,0.001482,20,0,10,0,0,0,DNA
0.456,0.404,0.319,2.5,-0.001517,0.001354,23.75,1.265823,5,0,0,0,DNA
0.409,0.384,0.3,2.5,-0.01154,0.001786,23.75,0,3.75,0,0,0,DNA
0.457,0.423,0.22,2.5,0.008808,0.00318,23.75,2.531646,3.75,0,0,1.265823,DNA
0.382,0.358,0.399,2.5,0.0015,7.18E-04,27.5,0,3.75,0,0,0,DNA
0.5,0.483,0.132,2.5,8.74E-04,0.001766,16.25,0,3.75,0,0,1.265823,DNA
0.398,0.318,0.327,2.5,0.006989,0.002721,31.25,1.265823,5,1.265823,0,0,DNA
0.483,0.438,0.213,2.5,0.005979,9.14E-04,30,0,5,0,0,1.265823,DNA
0.378,0.355,0.332,2.5,0.002802,0.003031,35,2.531646,7.5,0,0,1.265823,DNA
0.493,0.425,0.178,2.739726,0.004282,0.001544,30.136986,1.388889,4.109589,0,0,0,DNA
0.431,0.342,0.325,2.5,-0.003105,8.79E-04,25,0,3.75,0,0,1.265823,DNA
0.441,0.424,0.226,2.5,1.09E-04,0.001275,23.75,0,3.75,0,0,0,DNA
0.606,0.437,0.197,2.816901,-0.008819,0.003397,22.535211,1.428571,4.225352,0,0,0,DNA
0.463,0.395,0.216,5,-0.008208,0.002206,11.25,1.265823,5,0,0,0,DNA
0.41,0.38,0.262,10,-0.006517,0.002092,16.25,0,15,0,0,0,DNA
0.497,0.438,0.173,8.75,0.003968,0.001748,27.5,1.265823,7.5,0,0,1.265823,DNA
0.384,0.35,0.41,5,0.008349,6.19E-04,22.5,0,7.5,0,0,0,DNA
0.437,0.476,0.197,5,-0.0074,0.001621,13.75,0,8.75,0,0,1.265823,DNA
0.501,0.459,0.211,3.75,3.74E-04,0.001149,31.25,0,10,0,0,0,DNA
0.483,0.395,0.208,3.75,-0.00426,0.003892,37.5,1.265823,10,0,0,1.265823,DNA
0.403,0.439,0.263,5,0.003038,0.001129,12.5,0,5,0,0,0,DNA
0.481,0.432,0.18,8.75,0.00307,0.002019,27.5,1.265823,7.5,0,0,1.265823,DNA
0.49,0.443,0.214,7.5,-0.003494,0.001056,17.5,0,8.75,1.265823,0,0,DNA
0.531,0.429,0.206,5,0.003711,0.002275,22.5,2.531646,13.75,0,1.265823,0,DNA
0.462,0.416,0.27,6.25,-0.001348,5.55E-04,27.5,0,5,0,0,0,DNA
0.463,0.333,0.324,5,-0.005127,0.001626,26.25,0,5,0,0,2.531646,DNA
0.544,0.468,0.195,5,0.004516,0.001558,35,0,6.25,0,0,1.265823,DNA
0.648,0.389,0.231,3.75,0.003521,6.59E-04,12.5,0,10,0,0,0,DNA
0.406,0.364,0.391,3.75,-2.73E-04,6.64E-04,35,0,8.75,0,0,0,DNA
0.503,0.407,0.271,6.25,-0.002279,0.001143,15,1.265823,3.75,0,0,0,DNA
0.426,0.401,0.232,3.75,-0.001508,0.002333,17.5,0,6.25,0,0,1.265823,DNA
